title,pdf_name
Facial expression synthesis based on denoising diffusion probabilistic model,Sub-r-pa et al. - 2023 - Facial expression synthesis based on denoising diffusion probabilistic model.pdf
Uncertainty-Aware Semi-Supervised Learning of 3D Face Rigging from Single Image,Uncertainty-Aware Semi-Supervised Learning of 3D Face Rigging from Single Image.pdf
Talking Face Generation with Expression-Tailored Generative Adversarial Network,Talking Face Generation with Expression-Tailored Generative Adversarial Network.pdf
"Synthesis of Facial Expressions in Photographs: Characteristics, Approaches, and Challenges","Synthesis of Facial Expressions in Photographs Characteristics, Approaches, and Challenges.pdf"
Reviving Intentional Facial Expressions: an Interface for ALS Patients using Brain Decoding and Image-Generative AI - CHI '25,Reviving Intentional Facial Expressions an Interface for ALS Patients using Brain Decoding and Imag.pdf
Fine-grained Micro-Expression Generation based on Thin-Plate Spline and Relative AU Constraint,Fine-grained Micro-Expression Generation based on Thin-Plate Spline and Relative AU Constraint.pdf
FAMGAN: Fine-grained AUs Modulation based Generative Adversarial Network for Micro-Expression Generation,FAMGAN Fine-grained AUs Modulation based Generative Adversarial Network for Micro-Expression Genera.pdf
Facial Image-to-Video Translation by a Hidden Affine Transformation,Facial Image-to-Video Translation by a Hidden Affine Transformation.pdf
Facial Expression Translation using Cycle Consistent Adversarial Networks with Contrastive Loss,Facial Expression Translation using Cycle Consistent Adversarial Networks with Contrastive Loss.pdf
CPoser: An Optimization-after-Parsing Approach for Text-to-Pose Generation Using Large Language Models,CPoser An Optimization-after-Parsing Approach for Text-to-Pose Generation Using Large Language Mode.pdf
Age-uniform Feature Learning for Image-based Kinship Verification,Age-uniform Feature Learning for Image-based Kinship Verification.pdf
Deep face normalization,Deep face normalization.pdf
Warp-guided GANs for single-photo facial animation,Geng et al. - 2018 - Warp-guided GANs for single-photo facial animation.pdf
"ReP USP - Detalhe do registro: Synthesis of facial expressions in photographs: characteristics, approaches, and challenges","Synthesis of Facial Expressions in Photographs Characteristics, Approaches, and Challenges.pdf"
StarGAN-EgVA: Emotion Guided Continuous Affect Synthesis,Yu et al. - 2020 - StarGAN-EgVA Emotion Guided Continuous Affect Synthesis.pdf
Self-Supervised Emotion Representation Disentanglement for Speech-Preserving Facial Expression Manipulation,Xu et al. - 2024 - Self-Supervised Emotion Representation Disentanglement for Speech-Preserving Facial Expression Manip.pdf
LGA-GAN: landmarks guided attentive generative adversarial network for facial expression manipulation,Zhu and Huang - 2022 - LGA-GAN landmarks guided attentive generative adversarial network for facial expression manipulatio.pdf
Learning Speech-driven 3D Conversational Gestures from Video,Habibie et al. - 2021 - Learning Speech-driven 3D Conversational Gestures from Video.pdf
"""Just To See You Smile"": SMILEY, a Voice-Guided GUY GAN","Just To See You Smile SMILEY, a Voice-Guided GUY GAN.pdf"
"InterAct: A Large-Scale Dataset of Dynamic, Expressive and Interactive Activities between Two People in Daily Scenarios","Ho et al. - 2025 - InterAct A Large-Scale Dataset of Dynamic, Expressive and Interactive Activities between Two People.pdf"
"GiGAN: Gate in GAN, could gate mechanism filter the features in image-to-image translation?","Nie et al. - 2021 - GiGAN Gate in GAN, could gate mechanism filter the features in image-to-image translation.pdf"
Generating Head Animation for a Back-Projected Human-Like Robot Head,Generating Head Animation for a Back-Projected Human-Like Robot Head.pdf
Forgery Detection by Weighted Complementarity between Significant Invariance and Detail Enhancement,Xiao et al. - 2023 - Forgery Detection by Weighted Complementarity between Significant Invariance and Detail Enhancement.pdf
Facial expression synthesis by u-net conditional generative adversarial networks,Wang et al. - 2018 - Facial expression synthesis by u-net conditional generative adversarial networks.pdf
Facial Expression Generation Based on Multi-Scale Mixed Attention,Liu et al. - 2024 - Facial expression generation based on multi-scale mixed attention.pdf
Face Reenactment with Diffusion Model and Its Application to Video Compression,Iuchi et al. - 2023 - Face reenactment with diffusion model and its application to video compression.pdf
ExprADA: Adversarial domain adaptation for facial expression analysis,Bozorgtabar et al. - 2020 - ExprADA Adversarial domain adaptation for facial expression analysis.pdf
Enhancing Facial Expression Synthesis through GAN with Multi-Scale Dilated Feature Extraction and Edge-Enhanced Facial Features*,Nimitha et al. - 2023 - Enhancing facial expression synthesis through GAN with multi-scale dilated feature extraction and ed.pdf
Double Encoder Conditional GAN for Facial Expression Synthesis,Chen et al. - 2018 - Double encoder conditional GAN for facial expression synthesis.pdf
Does the Input Image Spatial Resolution Generate Different Synthetic Images? A Comparative Study of Facial Expression Synthesis Performance,Testa et al. - 2023 - Does the input image spatial resolution generate different synthetic images A comparative study of.pdf
Conditional expression synthesis with face parsing transformation,Lu et al. - 2018 - Conditional expression synthesis with face parsing transformation.pdf
AUD:AU-based Diffusion model for Facial Expression Synthesis from a Single Image,Xu et al. - 2024 - AUDAU-based diffusion model for facial expression synthesis from a single image.pdf
Attention Based Facial Expression Manipulation,Wang et al. - 2021 - Attention based facial expression manipulation.pdf
AnimateMe: 4D Facial Expressions via Diffusion Models,Gerogiannis et al. - 2024 - AnimateMe 4D Facial Expressions via Diffusion Models.pdf
Action Unit Based Smiling Face Generation Method,Gao et al. - 2023 - Action unit based smiling face generation method.pdf
Faceexpr: Personalized Facial Expression Generation Via Attention-Focused U-Net Feature Fusion in Diffusion Models,Afgan et al. - 2025 - Faceexpr Personalized Facial Expression Generation Via Attention-Focused U-Net Feature Fusion in Di.pdf
A highly naturalistic facial expression generation method with embedded vein features based on diffusion model,Song et al. - 2025 - A highly naturalistic facial expression generation method with embedded vein features based on diffu.pdf
A generative approach for dynamically varying photorealistic facial expressions in human-agent interactions,Huang and Khan - 2018 - A generative approach for dynamically varying photorealistic facial expressions in human-agent inter.pdf
A facial expression synthesis method based on generative adversarial network,Xu et al. - 2022 - A facial expression synthesis method based on generative adversarial network.pdf
Geometry guided adversarial facial expression synthesis,Song et al. - 2018 - Geometry guided adversarial facial expression synthesis.pdf
4D facial expression diffusion model,Zou et al. - 2024 - 4D facial expression diffusion model.pdf
Intuitive facial animation editing based on a generative RNN framework,Berson et al. - 2020 - Intuitive facial animation editing based on a generative RNN framework.pdf
Facial Expression Analysis and Its Potentials in IoT Systems: A Contemporary Survey,Shangguan et al. - 2025 - Facial Expression Analysis and Its Potentials in IoT Systems A Contemporary Survey.pdf
Facial Expression Analysis in Parkinsons's Disease Using Machine Learning: A Review,Oliveira et al. - 2025 - Facial Expression Analysis in Parkinsons's Disease Using Machine Learning A Review.pdf
Deepfake Detection Using Spatiotemporal Transformer,Kaddar et al. - 2024 - Deepfake Detection Using Spatiotemporal Transformer.pdf
Detection of AI-Manipulated Fake Faces via Mining Generalized Features,Yu et al. - 2022 - Detection of AI-Manipulated Fake Faces via Mining Generalized Features.pdf
SMART-DREAM: To Condition or Not to Condition; A Study on the Impact of LLM Conditioning on Motivational Interview Dialog Virtual Agent,Galland et al. - 2025 - SMART-DREAM To Condition or Not to Condition; A Study on the Impact of LLM Conditioning on Motivati.pdf
Human Latent Metrics: Perceptual and Cognitive Response Correlates to Distance in GAN Latent Space for Facial Images,Shimizu et al. - 2022 - Human Latent Metrics Perceptual and Cognitive Response Correlates to Distance in GAN Latent Space f.pdf
Generative Adversarial Networks for Face Generation: A Survey,Kammoun et al. - 2022 - Generative Adversarial Networks for Face Generation A Survey.pdf
Data-driven Communicative Behaviour Generation: A Survey,Oralbayeva et al. - 2024 - Data-driven Communicative Behaviour Generation A Survey.pdf
FC-4DFS: Frequency-controlled Flexible 4D Facial Expression Synthesizing,Lu et al. - 2024 - FC-4DFS Frequency-controlled Flexible 4D Facial Expression Synthesizing.pdf
Cycle In Cycle Generative Adversarial Networks for Keypoint-Guided Image Generation,Tang et al. - 2019 - Cycle In Cycle Generative Adversarial Networks for Keypoint-Guided Image Generation.pdf
"Facial Expression Modeling and Synthesis for Patient Simulator Systems: Past, Present, and Future","Pourebadi and Riek - 2022 - Facial Expression Modeling and Synthesis for Patient Simulator Systems Past, Present, and Future.pdf"
Follow-Your-Emoji: Fine-Controllable and Expressive Freestyle Portrait Animation,Ma et al. - 2024 - Follow-Your-Emoji Fine-Controllable and Expressive Freestyle Portrait Animation.pdf
"Greta 2.0: Social Interactive Agent system, optimized for neural network integration","Saga et al. - 2025 - Greta 2.0 Social Interactive Agent system, optimized for neural network integration.pdf"
U-Net Conditional GANs for Photo-Realistic and Identity-Preserving Facial Expression Synthesis,Wang et al. - 2019 - U-Net Conditional GANs for Photo-Realistic and Identity-Preserving Facial Expression Synthesis.pdf
WTV-GANimation: High quality facial expression synthesis generation model,Zhao and Zhang - 2022 - WTV-GANimation High quality facial expression synthesis generation model.pdf
Unpaired images based generator architecture for facial expression recognition,Zhang et al. - 2019 - Unpaired images based generator architecture for facial expression recognition.pdf
The technology of generating facial expressions for film and television characters based on deep learning algorithms,Zhang and Qian - 2024 - The technology of generating facial expressions for film and television characters based on deep lea.pdf
Synthetic expressions are better than real for learning to detect facial actions,Niinuma et al. - 2021 - Synthetic expressions are better than real for learning to detect facial actions.pdf
Sparse to dense dynamic 3D facial expression generation,Otberdout et al. - 2022 - Sparse to dense dynamic 3D facial expression generation.pdf
Revitalizing nash equilibrium in gans for human face image generation,Khodabandelou et al. - 2024 - Revitalizing nash equilibrium in gans for human face image generation.pdf
Pixel-based facial expression synthesis,Akram and Khan - 2020 - Pixel-based facial expression synthesis.pdf
Pioneering facial expression generation from sEMG signals with diffusion models,Shu and Koike - 2025 - Pioneering facial expression generation from sEMG signals with diffusion models.pdf
Music recommendation system based on facial emotion analysis,Priyadharshini et al. - 2025 - Music recommendation system based on facial emotion analysis.pdf
Multi-expression generative adversarial networks for facial expression synthesis,Kuang et al. - 2019 - Multi-expression generative adversarial networks for facial expression synthesis.pdf
Local and global perception generative adversarial network for facial expression synthesis,Xia et al. - 2022 - Local and global perception generative adversarial network for facial expression synthesis.pdf
Motion-oriented diffusion models for facial expression synthesis,Bouzid and Ballihi - 2024 - Motion-oriented diffusion models for facial expression synthesis.pdf
Generative adversarial networks in human emotion synthesis: a review,Hajarolasvadi et al. - 2020 - Generative adversarial networks in human emotion synthesis a review.pdf
Joint deep learning of facial expression synthesis and recognition,Yan et al. - 2020 - Joint deep learning of facial expression synthesis and recognition.pdf
Identity-free facial expression recognition using conditional generative adversarial network,Cai et al. - 2021 - Identity-free facial expression recognition using conditional generative adversarial network.pdf
Generating multiple 4D expression transitions by learning face landmark trajectories,Otberdout et al. - 2024 - Generating multiple 4D expression transitions by learning face landmark trajectories.pdf
Fine-grained expression manipulation via structured latent space,Tang et al. - 2020 - Fine-grained expression manipulation via structured latent space.pdf
Facial expression translation using landmark guided gans,Tang and Sebe - 2022 - Facial expression translation using landmark guided gans.pdf
Facial expression synthesis and recognition with pre-trained StyleGAN,Zhai et al. - 2023 - Facial expression synthesis and recognition with pre-trained StyleGAN.pdf
Facial age and expression synthesis using ordinal ranking adversarial networks,Sun et al. - 2020 - Facial age and expression synthesis using ordinal ranking adversarial networks.pdf
Expression conditional gan for facial expression-to-expression translation,Tang et al. - 2019 - Expression conditional gan for facial expression-to-expression translation.pdf
Dynamic facial expression synthesis driven by deformable semantic parts,Gong et al. - 2018 - Dynamic facial expression synthesis driven by deformable semantic parts.pdf
Dynamic facial expression generation on hilbert hypersphere with conditional wasserstein generative adversarial nets,Otberdout et al. - 2022 - Dynamic facial expression generation on hilbert hypersphere with conditional wasserstein generative.pdf
3D dense geometry-guided facial expression synthesis by adversarial learning,Bodur et al. - 2021 - 3D dense geometry-guided facial expression synthesis by adversarial learning.pdf
Simulation of Facial Palsy using Conditional Generative Adversarial Networks,Yaotome et al. - 2019 - Simulation of Facial Palsy using Conditional Generative Adversarial Networks.pdf
Multiple Facial Expressions Synthesis Driven by Editable Line Maps,Liu et al. - 2020 - Multiple Facial Expressions Synthesis Driven by Editable Line Maps.pdf
SynExpression: A Diffusion-Based Framework for Controllable Facial Expression Synthesis and Emotion Detection Using Facial Segmentation Pose Maps,Sayyafzadeh et al. - 2025 - SynExpression A Diffusion-Based Framework for Controllable Facial Expression Synthesis and Emotion.pdf
DiffAtten-GAN: A Local Attention-Enhanced Diffusion-GAN for Elderly Facial Expression Synthesis with Limited Data,You and Nekovee - 2025 - DiffAtten-GAN A Local Attention-Enhanced Diffusion-GAN for Elderly Facial Expression Synthesis with.pdf
US-GAN: on the importance of ultimate skip connection for facial expression synthesis,Akram and Khan - 2024 - US-GAN on the importance of ultimate skip connection for facial expression synthesis.pdf
Facial expression video generation based-on spatio-temporal convolutional GAN: FEV-GAN,Bouzid and Ballihi - 2022 - Facial expression video generation based-on spatio-temporal convolutional GAN FEV-GAN.pdf
SARGAN: Spatial attention-based residuals for facial expression manipulation,Akram and Khan - 2023 - SARGAN Spatial attention-based residuals for facial expression manipulation.pdf
Facial expressions generating model reflecting agent's emotion response using facial landmark residual networks,Kondo et al. - 2022 - Facial expressions generating model reflecting agent's emotion response using facial landmark residu.pdf
Facial expression manipulation for personalized facial action estimation,Niinuma et al. - 2022 - Facial expression manipulation for personalized facial action estimation.pdf
SliderGAN: Synthesizing expressive face images by sliding 3D blendshape parameters,Ververas and Zafeiriou - 2020 - SliderGAN Synthesizing expressive face images by sliding 3D blendshape parameters.pdf
Masked linear regression for learning local receptive fields for facial expression synthesis,Khan et al. - 2020 - Masked linear regression for learning local receptive fields for facial expression synthesis.pdf
GANimation: One-shot anatomically consistent facial animation,Pumarola et al. - 2020 - GANimation One-shot anatomically consistent facial animation.pdf
Region based adversarial synthesis of facial action units,Liu et al. - 2020 - Region based adversarial synthesis of facial action units.pdf
Synthesizing coupled 3D face modalities by trunk-branch generative adversarial networks,Gecer et al. - 2020 - Synthesizing coupled 3D face modalities by trunk-branch generative adversarial networks.pdf
GANimation: Anatomically-aware facial animation from a single image,Pumarola et al. - 2018 - GANimation Anatomically-aware facial animation from a single image.pdf
Generative cooperative net for image generation and data augmentation,Xu et al. - 2019 - Generative cooperative net for image generation and data augmentation.pdf
Apprgan: Appearance-based GAN for facial expression synthesis,Peng and Yin - 2019 - Apprgan Appearance-based GAN for facial expression synthesis.pdf
Action unit driven facial expression synthesis from a single image with patch attentive GAN,Zhao et al. - 2021 - Action unit driven facial expression synthesis from a single image with patch attentive GAN.pdf
Attention-based image-to-video translation for synthesizing facial expression using GAN,Alemayehu et al. - 2023 - Attention-based image-to-video translation for synthesizing facial expression using GAN.pdf
Bipartite graph reasoning gans for person pose and facial image synthesis,Tang et al. - 2023 - Bipartite graph reasoning gans for person pose and facial image synthesis.pdf
EvoGAN: An evolutionary computation assisted GAN,Liu et al. - 2022 - EvoGAN An evolutionary computation assisted GAN.pdf
Contour wavelet diffusion-a fast and high-quality facial expression generation model,Xu and Zou - 2024 - Contour wavelet diffusion-a fast and high-quality facial expression generation model.pdf
Semantic prior guided fine-grained facial expression manipulation,Xue et al. - 2024 - Semantic prior guided fine-grained facial expression manipulation.pdf
Facial expression morphing: enhancing visual fidelity and preserving facial details in CycleGAN-based expression synthesis,Sub-R-Pa et al. - 2024 - Facial expression morphing enhancing visual fidelity and preserving facial details in CycleGAN-base.pdf
Artificial intelligence D riven physical simulation and animation generation in computer graphics,Wang - 2025 - Artificial intelligence D riven physical simulation and animation generation in computer graphics.pdf
Facial expression generation from text with FaceCLIP,Fu et al. - 2025 - Facial expression generation from text with FaceCLIP.pdf
